,Agente1,Agente2,ClientesComun
698,1736,28210,2
699,14253,25957,2
700,9922,18434,2
701,17278,18865,2
702,3341,18420,2
703,5692,21268,2
704,10681,26582,2
705,289,14268,2
706,21451,24828,2
707,21236,24706,2
708,10268,18434,2
709,15169,21890,2
710,11015,21337,2
711,14093,24589,2
712,10255,23734,2
713,21105,25840,2
714,15129,24754,2
715,21572,27588,2
716,16600,28022,2
717,20478,27247,2
718,17504,20414,2
719,10526,22656,2
720,17504,22224,2
721,20414,22224,2
722,3288,17822,2
723,18434,25997,2
724,18449,24095,2
725,14630,23743,2
726,1237,10923,2
727,22576,24861,2
728,9317,25252,2
729,1680,24050,2
730,17075,24523,2
731,10177,30576,2
732,14630,18731,2
733,11230,12133,2
734,8699,18865,2
735,16240,21603,2
736,6006,11776,2
737,13947,25842,2
738,25252,30292,2
739,2300,17445,2
740,11026,20842,2
741,74,4074,2
742,19537,30439,2
743,20250,29054,2
744,12882,20071,2
745,24698,27216,2
746,17227,20316,2
747,21110,26333,2
748,23714,23944,2
749,14866,24377,2
750,23016,25758,2
751,11856,15302,2
752,21299,25910,2
753,3713,17998,2
754,1736,30439,2
755,15772,23911,2
756,11470,17542,2
757,847,22881,2
758,16240,25142,2
759,18225,19496,2
760,9317,29054,2
761,20466,24159,2
762,21627,25350,2
763,8205,23029,2
764,11026,21299,2
765,23158,23886,2
766,23804,24008,2
767,11624,15092,2
768,8464,22168,2
769,6510,21122,2
770,21699,27186,2
771,19840,23197,2
772,17416,20563,2
773,19266,25743,2
774,24377,25288,2
775,10215,14297,2
776,13340,15264,2
777,16884,19003,2
778,20961,24377,2
779,2412,20501,2
780,2420,20891,2
781,1801,14093,2
782,8409,17445,2
783,18744,22961,2
784,1610,15467,2
785,12262,25840,2
786,18735,23793,2
787,15591,18077,2
788,15772,17741,2
789,15149,19489,2
790,18713,30292,2
791,7009,15580,2
792,3020,11910,2
793,24019,26306,2
794,17242,24421,2
795,15677,30427,2
796,20239,26126,2
797,5697,22197,2
798,24986,28415,2
799,15687,27129,2
800,2820,13556,2
801,6623,27136,2
802,4685,22356,2
803,17341,24828,2
804,8763,24241,2
805,23070,24377,2
806,2476,14146,2
807,23922,30621,2
808,19640,24377,2
809,15728,23705,2
810,8556,10268,2
811,18874,25272,2
812,16895,23130,2
813,2820,25272,2
814,11950,19447,2
815,8410,28006,2
816,19574,23623,2
817,9869,17278,2
818,10149,16672,2
819,21699,22848,2
820,17903,27710,2
821,14629,24887,2
822,23042,23263,2
823,10917,21905,2
824,14768,18030,2
825,21841,25333,2
826,18030,30439,2
827,6098,19935,2
828,9326,18865,2
829,5267,9030,2
830,11535,22217,2
831,16912,21543,2
832,426,20203,2
833,15768,25983,2
834,23049,25177,2
835,15092,31249,2
836,4856,18606,2
837,5552,7832,2
838,23159,26273,2
839,14740,22337,2
840,19730,24828,2
841,6510,24095,2
842,13266,19626,2
843,13075,30427,2
844,14772,20508,2
845,14622,24524,2
846,18449,30292,2
847,20564,26981,2
848,18874,28788,2
849,22540,28110,2
850,8250,30282,2
851,6510,19417,2
852,16555,28210,2
853,23614,30621,2
854,5822,12606,2
855,23016,26689,2
856,14590,26465,2
857,16024,25393,2
858,18356,24226,2
859,8250,27837,2
860,10270,28861,2
861,4017,8410,2
862,14629,15873,2
863,15169,24427,2
864,4293,15437,2
865,6006,11906,2
866,11950,25333,2
867,18195,19829,2
868,13823,23298,2
869,4532,25333,2
